Order_ID,Order_Date,Delivery_Date,Delivery_Status,Customer_ID,Customer_Type,State,City,Region,Product_ID,Product_Name,Category,Sub_Category,Brand,Quantity,Unit_Price,MRP,Discount_%,Net_sales,Cost_Price,Profit_Amount,Profit_Margin_%,Payment_Mode
OD100000,45612,45613,Delivered,CUST3316,RETURNING,Karnataka,Mysuru,West,P474,Biba Women Item,Fashion,Women,Biba,1,995.81,1194.97,5,1135.2215,796.65,338.5715,0.298242678,COD
OD100001,45458,45467,delivered,CUST9130,New,West Bengal,Kolkata,East,P642,Redmi Mobiles Item,Electronics,Mobiles,Redmi,4,971.55,1165.86,10,4197.096,777.24,1088.136,0.259259259,Credit Card
OD100002,45295,45303,Returned,CUST2693,New,Tamil Nadu,Coimbatore,North,P408,Asus Laptops Item,Electronics,Laptops,Asus,2,1037.28,1244.74,20,1991.584,829.83,331.924,0.166663319,Debit Card
OD100003,45529,45538,RETURNED,CUST4091,RETURNING,West Bengal,Howrah,North,P926,Asus Laptops Item,Electronics,Laptops,Asus,5,1035.11,1242.13,20,4968.52,828.09,828.07,0.166663312,Debit Card
OD100004,45332,45333,Cancelled,CUST3983,New,Karnataka,Mangalore,North,P653,Dell Laptops Item,Electronics,Laptops,Dell,3,994.3,1193.15,25,2684.5875,795.44,298.2675,0.111103661,Net Banking
OD100005,45457,45465,Delivered,CUST5002,new,Maharashtra,Nagpur,West,P473,Butterfly Kitchen Item,Home,Kitchen,Butterfly,5,993.77,1192.52,20,4770.08,795.02,794.98,0.166659679,COD
OD100006,45538,45539,Cancelled,CUST7298,New,West Bengal,Kolkata,South,P661,Asus Laptops Item,Electronics,Laptops,Asus,1,919.38,1103.26,5,1048.097,735.51,312.587,0.298242434,UPI
OD100007,45307,45309,Delivered,CUST5104,Returning,Karnataka,Mysuru,East,P874,Realme Mobiles Item,Electronics,Mobiles,Realme,5,1055.01,1266.01,30,4431.035,844.01,210.985,0.047615286,Debit Card
OD100008,45521,45524,Returned,CUST4211,New,Uttar Pradesh,Kanpur,North,P737,Asus Laptops Item,Electronics,Laptops,Asus,2,924.3,1109.16,10,1996.488,739.44,517.608,0.259259259,UPI
OD100009,45400,45410,Delivered,CUST7581,RETURNING,Tamil Nadu,Madurai,North,P733,Ikea Furniture Item,Home,Furniture,Ikea,5,1034.1,1240.92,15,5273.91,827.28,1137.51,0.215686275,UPI
OD100010,45481,45482,Returned,CUST2761,new,Tamil Nadu,Coimbatore,East,P806,Puma Men Item,Fashion,Men,Puma,4,1060.16,1272.19,15,4325.446,848.13,932.926,0.215683192,Credit Card
OD100011,45489,45494,Delivered,CUST4073,new,Karnataka,Mangalore,West,P308,Zara Women Item,Fashion,Women,Zara,3,938.49,1126.19,30,2364.999,750.79,112.629,0.047623276,COD
OD100012,45449,45450,Cancelled,CUST2415,RETURNING,Uttar Pradesh,Lucknow,East,P769,Biba Women Item,Fashion,Women,Biba,4,1033.77,1240.53,10,4465.908,827.02,1157.828,0.259259259,COD
OD100013,45592,45602,Returned,CUST7274,New,Maharashtra,Pune,East,P921,Adidas Men Item,Fashion,Men,Adidas,4,902.98,1083.57,0,4334.28,722.38,1444.76,0.333333333,UPI
OD100014,45536,45543,Returned,CUST7195,New,Uttar Pradesh,Noida,South,P204,Asus Laptops Item,Electronics,Laptops,Asus,3,1091.17,1309.4,5,3731.79,872.93,1113,0.298248294,Credit Card
OD100015,45455,45463,Delivered,CUST3259,New,Uttar Pradesh,Kanpur,East,P703,Apple Mobiles Item,Electronics,Mobiles,Apple,4,1058.82,1270.59,25,3811.77,847.06,423.53,0.111111111,Net Banking
